DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Dec-25,Wednesday,December,Q4,2025,EQ,"1,550.00","1,550.00","1,539.30","1,542.30","1,545.10","1,544.40","1,544.14","1,581.30","1,114.85","71,16,649","10,98,91,03,491.90","1,76,852"
16-Dec-25,Tuesday,December,Q4,2025,EQ,"1,545.00","1,551.70","1,538.80","1,556.20","1,540.70","1,542.30","1,544.30","1,581.30","1,114.85","1,17,31,856","18,11,75,38,818.10","2,46,980"
15-Dec-25,Monday,December,Q4,2025,EQ,"1,551.20","1,558.60","1,546.50","1,556.50","1,557.00","1,556.20","1,553.69","1,581.30","1,114.85","57,74,543","8,97,18,36,560.70","1,85,872"
12-Dec-25,Friday,December,Q4,2025,EQ,"1,550.80","1,559.80","1,546.10","1,545.00","1,554.30","1,556.50","1,555.21","1,581.30","1,114.85","51,06,655","7,94,19,40,758.50","1,39,702"
11-Dec-25,Thursday,December,Q4,2025,EQ,"1,536.90","1,550.00","1,524.00","1,536.90","1,543.00","1,545.00","1,540.61","1,581.30","1,114.85","47,06,197","7,25,04,28,118.40","1,68,155"
10-Dec-25,Wednesday,December,Q4,2025,EQ,"1,534.00","1,547.50","1,531.40","1,529.40","1,533.50","1,536.90","1,539.72","1,581.30","1,114.85","79,91,629","12,30,48,93,787.50","2,02,989"
09-Dec-25,Tuesday,December,Q4,2025,EQ,"1,540.30","1,542.50","1,520.10","1,543.00","1,532.40","1,529.40","1,530.00","1,581.30","1,114.85","1,15,03,971","17,60,10,83,501.20","2,05,129"
08-Dec-25,Monday,December,Q4,2025,EQ,"1,539.20","1,551.00","1,535.00","1,540.60","1,539.90","1,543.00","1,540.71","1,581.30","1,114.85","1,13,01,491","17,41,23,09,977.70","1,82,756"
05-Dec-25,Friday,December,Q4,2025,EQ,"1,530.40","1,545.80","1,520.60","1,535.60","1,544.60","1,540.60","1,534.80","1,581.30","1,114.85","1,01,83,266","15,62,92,90,582.50","1,81,528"
04-Dec-25,Thursday,December,Q4,2025,EQ,"1,536.00","1,560.50","1,517.60","1,538.80","1,525.30","1,535.60","1,543.73","1,581.30","1,114.85","1,18,67,930","18,32,08,33,054.60","2,03,260"
03-Dec-25,Wednesday,December,Q4,2025,EQ,"1,545.20","1,552.40","1,533.00","1,546.30","1,539.10","1,538.80","1,539.45","1,581.30","1,114.85","60,90,883","9,37,65,93,978.90","1,56,721"
