DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Feb-26,Tuesday,February,Q1,2026,EQ,"1,425.30","1,433.30","1,415.00","1,428.00","1,431.10","1,428.80","1,424.96","1,611.80","1,114.85","1,25,29,409","17,85,39,17,144.10","1,96,324"
23-Feb-26,Monday,February,Q1,2026,EQ,"1,425.00","1,434.90","1,418.30","1,419.40","1,425.00","1,428.00","1,425.50","1,611.80","1,114.85","77,58,856","11,06,02,70,073.70","1,40,217"
20-Feb-26,Friday,February,Q1,2026,EQ,"1,409.50","1,427.40","1,406.10","1,409.50","1,419.10","1,419.40","1,420.00","1,611.80","1,114.85","81,77,670","11,61,22,83,011.40","1,61,489"
19-Feb-26,Thursday,February,Q1,2026,EQ,"1,443.00","1,443.00","1,400.00","1,441.30","1,407.20","1,409.50","1,415.94","1,611.80","1,114.85","1,18,84,664","16,82,79,34,160.10","2,21,944"
18-Feb-26,Wednesday,February,Q1,2026,EQ,"1,427.00","1,442.10","1,419.20","1,423.00","1,441.00","1,441.30","1,432.14","1,611.80","1,114.85","55,21,096","7,90,69,56,447.40","1,21,784"
17-Feb-26,Tuesday,February,Q1,2026,EQ,"1,431.10","1,431.80","1,418.60","1,437.10","1,424.20","1,423.00","1,423.10","1,611.80","1,114.85","1,07,31,630","15,27,21,75,589.40","1,89,670"
16-Feb-26,Monday,February,Q1,2026,EQ,"1,420.10","1,439.60","1,409.30","1,419.60","1,434.10","1,437.10","1,426.07","1,611.80","1,114.85","58,96,514","8,40,88,65,413.30","1,60,094"
13-Feb-26,Friday,February,Q1,2026,EQ,"1,445.50","1,450.70","1,416.30","1,448.90","1,418.60","1,419.60","1,423.73","1,611.80","1,114.85","1,07,55,693","15,31,32,21,949.70","1,82,348"
12-Feb-26,Thursday,February,Q1,2026,EQ,"1,470.00","1,473.00","1,445.50","1,468.70","1,449.90","1,448.90","1,453.64","1,611.80","1,114.85","1,11,35,399","16,18,68,60,274.50","1,95,451"
11-Feb-26,Wednesday,February,Q1,2026,EQ,"1,459.60","1,470.00","1,453.60","1,458.50","1,469.00","1,468.70","1,465.14","1,611.80","1,114.85","71,06,877","10,41,25,35,997.80","2,00,342"
10-Feb-26,Tuesday,February,Q1,2026,EQ,"1,471.00","1,471.00","1,452.20","1,461.60","1,456.20","1,458.50","1,459.23","1,611.80","1,114.85","1,02,59,630","14,97,11,96,098.30","1,81,163"
09-Feb-26,Monday,February,Q1,2026,EQ,"1,458.00","1,465.90","1,453.00","1,450.80","1,461.20","1,461.60","1,462.26","1,611.80","1,114.85","57,75,864","8,44,58,11,902.30","1,27,171"
06-Feb-26,Friday,February,Q1,2026,EQ,"1,441.50","1,452.80","1,433.50","1,443.40","1,451.00","1,450.80","1,442.78","1,611.80","1,114.85","82,77,304","11,94,23,66,313.00","1,33,331"
05-Feb-26,Thursday,February,Q1,2026,EQ,"1,457.00","1,461.50","1,439.50","1,456.80","1,441.90","1,443.40","1,444.91","1,611.80","1,114.85","1,17,63,658","16,99,74,46,034.90","2,06,465"
04-Feb-26,Wednesday,February,Q1,2026,EQ,"1,444.00","1,464.00","1,440.30","1,437.10","1,455.40","1,456.80","1,455.35","1,611.80","1,114.85","83,33,387","12,12,79,57,783.70","1,89,873"
03-Feb-26,Tuesday,February,Q1,2026,EQ,"1,473.90","1,489.50","1,430.20","1,390.40","1,438.00","1,437.10","1,445.70","1,611.80","1,114.85","2,54,56,171","36,80,20,06,349.10","3,60,494"
02-Feb-26,Monday,February,Q1,2026,EQ,"1,340.00","1,392.90","1,335.50","1,347.00","1,388.00","1,390.40","1,373.27","1,611.80","1,114.85","1,57,11,165","21,57,56,43,258.50","3,79,997"
01-Feb-26,Sunday,February,Q1,2026,EQ,"1,396.00","1,411.00","1,335.00","1,395.40","1,342.80","1,347.00","1,377.13","1,611.80","1,114.85","97,14,528","13,37,81,45,108.70","2,36,369"
30-Jan-26,Friday,January,Q1,2026,EQ,"1,382.60","1,398.00","1,378.50","1,391.00","1,397.00","1,395.40","1,391.25","1,611.80","1,114.85","1,12,39,835","15,63,74,18,399.50","1,59,638"
29-Jan-26,Thursday,January,Q1,2026,EQ,"1,402.90","1,402.90","1,384.00","1,396.70","1,386.90","1,391.00","1,393.55","1,611.80","1,114.85","2,08,46,683","29,05,08,18,209.00","2,95,986"
28-Jan-26,Wednesday,January,Q1,2026,EQ,"1,385.00","1,409.90","1,384.90","1,380.50","1,398.50","1,396.70","1,396.85","1,611.80","1,114.85","1,11,21,657","15,53,53,35,257.60","2,09,556"
27-Jan-26,Tuesday,January,Q1,2026,EQ,"1,380.00","1,391.60","1,368.00","1,386.10","1,384.00","1,380.50","1,381.87","1,611.80","1,114.85","2,63,02,396","36,34,65,67,203.10","3,37,571"
23-Jan-26,Friday,January,Q1,2026,EQ,"1,401.80","1,407.00","1,381.00","1,402.50","1,387.00","1,386.10","1,391.32","1,611.80","1,114.85","98,37,802","13,68,75,60,136.70","2,63,283"
22-Jan-26,Thursday,January,Q1,2026,EQ,"1,410.10","1,419.50","1,395.00","1,404.60","1,404.10","1,402.50","1,403.80","1,611.80","1,114.85","1,57,21,693","22,07,01,50,220.10","3,91,641"
21-Jan-26,Wednesday,January,Q1,2026,EQ,"1,389.50","1,412.90","1,373.00","1,394.00","1,407.50","1,404.60","1,399.14","1,611.80","1,114.85","1,73,52,720","24,27,89,65,746.30","4,12,452"
20-Jan-26,Tuesday,January,Q1,2026,EQ,"1,410.70","1,416.00","1,390.00","1,413.60","1,392.40","1,394.00","1,401.05","1,611.80","1,114.85","1,31,89,498","18,47,91,64,578.50","3,82,470"
19-Jan-26,Monday,January,Q1,2026,EQ,"1,450.60","1,450.60","1,403.30","1,457.90","1,413.20","1,413.60","1,415.36","1,611.80","1,114.85","2,03,92,765","28,86,31,28,634.10","5,69,720"
16-Jan-26,Friday,January,Q1,2026,EQ,"1,458.80","1,480.00","1,455.10","1,458.80","1,461.00","1,457.90","1,464.15","1,611.80","1,114.85","1,71,67,161","25,13,52,47,618.00","2,89,037"
14-Jan-26,Wednesday,January,Q1,2026,EQ,"1,444.00","1,467.00","1,440.20","1,452.80","1,458.80","1,458.80","1,458.22","1,611.80","1,114.85","83,21,764","12,13,49,50,551.20","1,67,816"
13-Jan-26,Tuesday,January,Q1,2026,EQ,"1,485.00","1,485.80","1,444.70","1,483.20","1,456.90","1,452.80","1,457.67","1,611.80","1,114.85","1,34,99,760","19,67,81,31,155.40","2,89,198"
12-Jan-26,Monday,January,Q1,2026,EQ,"1,475.30","1,485.30","1,451.00","1,475.30","1,484.00","1,483.20","1,469.79","1,611.80","1,114.85","88,83,745","13,05,72,59,395.40","2,36,827"
09-Jan-26,Friday,January,Q1,2026,EQ,"1,465.00","1,479.90","1,465.00","1,470.60","1,476.00","1,475.30","1,472.13","1,611.80","1,114.85","83,35,311","12,27,06,72,520.90","2,37,412"
08-Jan-26,Thursday,January,Q1,2026,EQ,"1,500.00","1,503.90","1,468.80","1,504.20","1,470.70","1,470.60","1,477.72","1,611.80","1,114.85","1,65,18,684","24,41,00,37,550.10","4,43,727"
07-Jan-26,Wednesday,January,Q1,2026,EQ,"1,510.00","1,520.00","1,498.00","1,507.60","1,505.10","1,504.20","1,506.81","1,611.80","1,114.85","1,11,99,340","16,87,52,53,099.50","3,02,077"
06-Jan-26,Tuesday,January,Q1,2026,EQ,"1,569.00","1,569.00","1,496.30","1,578.10","1,508.90","1,507.60","1,516.17","1,611.80","1,114.85","2,74,17,125","41,56,90,80,602.20","5,83,917"
05-Jan-26,Monday,January,Q1,2026,EQ,"1,593.00","1,611.80","1,575.30","1,592.30","1,577.00","1,578.10","1,589.36","1,611.80","1,114.85","87,04,973","13,83,53,33,400.10","2,27,204"
02-Jan-26,Friday,January,Q1,2026,EQ,"1,580.00","1,594.60","1,578.20","1,575.60","1,593.00","1,592.30","1,589.16","1,594.60","1,114.85","66,02,230","10,49,19,99,169.40","1,56,023"
01-Jan-26,Thursday,January,Q1,2026,EQ,"1,573.70","1,592.50","1,571.10","1,570.40","1,572.90","1,575.60","1,578.67","1,592.50","1,114.85","64,08,128","10,11,63,46,867.10","1,34,062"
31-Dec-25,Wednesday,December,Q4,2025,EQ,"1,541.00","1,577.00","1,541.00","1,539.80","1,569.00","1,570.40","1,566.86","1,581.30","1,114.85","57,71,830","9,04,36,50,348.50","1,41,792"
30-Dec-25,Tuesday,December,Q4,2025,EQ,"1,547.00","1,553.60","1,537.80","1,545.60","1,541.00","1,539.80","1,543.21","1,581.30","1,114.85","88,15,884","13,60,47,45,435.00","1,99,428"
29-Dec-25,Monday,December,Q4,2025,EQ,"1,554.90","1,558.10","1,543.60","1,559.20","1,546.70","1,545.60","1,547.80","1,581.30","1,114.85","59,72,105","9,24,36,16,142.30","1,58,162"
26-Dec-25,Friday,December,Q4,2025,EQ,"1,554.70","1,561.00","1,554.30","1,558.20","1,560.00","1,559.20","1,558.05","1,581.30","1,114.85","23,11,495","3,60,14,35,338.70","81,976"
24-Dec-25,Wednesday,December,Q4,2025,EQ,"1,572.70","1,575.70","1,553.60","1,570.70","1,560.60","1,558.20","1,559.55","1,581.30","1,114.85","88,15,745","13,74,86,00,530.90","2,43,970"
23-Dec-25,Tuesday,December,Q4,2025,EQ,"1,580.90","1,580.90","1,568.10","1,575.40","1,569.00","1,570.70","1,573.01","1,581.30","1,114.85","75,06,564","11,80,79,16,323.50","1,79,265"
22-Dec-25,Monday,December,Q4,2025,EQ,"1,573.50","1,577.50","1,565.30","1,565.10","1,577.00","1,575.40","1,571.96","1,581.30","1,114.85","1,01,84,852","16,01,02,06,159.50","3,71,017"
19-Dec-25,Friday,December,Q4,2025,EQ,"1,554.40","1,574.20","1,551.00","1,544.40","1,564.90","1,565.10","1,566.60","1,581.30","1,114.85","1,39,37,275","21,83,41,30,206.80","2,79,233"
18-Dec-25,Thursday,December,Q4,2025,EQ,"1,535.20","1,551.50","1,535.20","1,544.40","1,543.50","1,544.40","1,545.30","1,581.30","1,114.85","65,80,829","10,16,93,53,778.00","1,75,814"
